Order_districtPlusTransaction,Salesman_Name_____SMNAME,Order_Type_____OOTYPE,Customer_DistrictPlusCustomer,Customer_Alpha_Name_____CALPHA,InvoiceDate_OOI,ITEM_NUMBER_____ODITEM,SIZE_1_____ODSIZ1,SIZE_2_____ODSIZ2,SIZE_3_____ODSIZ3,CRT_DESCRIPTION_____ODCRTD,Item_Print_Descr_Two_____DXDSC2,TOTAL_FTS_____ODTFTS,TOTAL_LBS_____ODTLBS,TOTAL_PCS_____ODTPCS,NEGOTIATED_SELL_$_EXT_____ODSLSX,PRORATED_FREIGHT_SALES_____ODFRTS,COSTING_METHOD_COST_EXT_____ODCSTX,TOTAL_PROCESS_COST_____ODPRCC,TOTAL_ADDTL_CHG_COST_____ODADCC,PRORATED_WHOLE_ORDER_COST_AMT_____ODWCCS,State_____CSTAT,Country_____CCTRY
1965688,BEN HILTON     ,A,101029,ENERGY ALLOYS PTE LTD              ,20250128,51904,12.5,9.5,1.5,12.500 OD 9.500 ID 1.500 WALL      ,HF 4130M 110-125KSI++..       ,32.375,5705.2070000000003,3.0,12626.25,0.0,10502.32,0.0,0.0,0.0,  ,SGP
1965563,CHRIS SITKA    ,A,100464,HIGH TECH MACHINE                  ,20250106,50070,4.0,2.75,0.625,4.000 OD 2.750 ID .625 WALL        ,HF 4130 LN80 QT.              ,11.667,262.83199999999999,2.0,570.0,0.0,368.63999999999999,0.0,0.0,0.0,TX,USA
1965517,LACEY CORTEZ   ,A,100406,TAYLOR OILFIELD MANUFACTURING INC  ,20250103,51199,5.5,0.0,0.0,5.500 ROUND BAR                    ,HF 4330V 150 KSI NQT          ,7.75,625.95699999999999,1.0,877.0,0.0,985.15999999999997,0.0,0.0,0.0,LA,USA
1965513,DARIO CAMACHO  ,A,101243,SCOPE TECHNOLOGY LLC               ,20250106,50564,5.25,0.0,0.0,5.250 ROUND BAR                    ,HF 4340 125 KSI NQT           ,12.917,950.57600000000002,20.0,2080.0,0.0,1372.2,0.0,0.0,0.0,TX,USA
1965707,DARIO CAMACHO  ,A,100355,TOP TECH INDUSTRIES LTD            ,20250108,50407,2.5,0.0,0.0,2.500 ROUND BAR                    ,HF 4140 110KSI NQT            ,11.0,183.565,1.0,229.68000000000001,0.0,185.11000000000001,0.0,0.0,0.0,AB,CAN
1965518,CHRIS SITKA    ,B,101275,METAL MACHINING TECHNOLOGY         ,20250107,BTUBE,1.0,0.0,0.0,12.000 OD 10.500 ID .750 WALL      ,1026 HF SMLS                  ,8.5549999999999997,770.99800000000005,2.0,1890.0,0.0,1066.9300000000001,0.0,0.0,0.0,TX,USA
1965524,DARREL THORMER ,A,100102,HUNTING ENERGY SERVICES            ,20250103,50240,8.5,6.75,0.875,8.500 OD 6.750 ID .875 WALL        ,HF 4140 LN80 QT..             ,3.8959999999999999,277.60399999999998,11.0,420.76999999999998,0.0,333.63,0.0,0.0,0.0,LA,USA
1965549,BEN HILTON     ,A,100189,HALLIBURTON ENERGY SERVICES        ,20250121,51591,18.0,0.0,0.0,17.250 OD 11.000 ID 3.125 WALL     ,HF 4130M7 NQ&T 271-326 BHN    ,2.0630000000000002,971.29499999999996,3.0,14205.0,0.0,3928.0,2532.4200000000001,0.0,0.0,OK,USA
1965550,BEN HILTON     ,A,101321,LLN GROUP LLC                      ,20250107,50107,10.75,8.25,1.25,10.750 OD 8.250 ID 1.250 WALL      ,HF 4140 LN80 QT               ,1.75,221.947,1.0,275.0,0.0,296.30000000000001,0.0,0.0,0.0,TX,USA
1965922,MICHAEL BROUSSA,A,101006,AGL MACHINE WORKS                  ,20250110,52167,6.5,4.0,1.25,6.500 OD 4.000 ID 1.250 WALL       ,HF 4140 125KSI++..            ,9.3230000000000004,653.42999999999995,5.0,1078.48,0.0,930.10000000000002,0.0,0.0,0.0,LA,USA
